,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
0,0,0,0,0,0,0,0,SS336,Ethanol,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,C(C=C12)=CC=C1C(C=CC=C3)=[N]3[Ir]452([N]6=C(C=CC=C6)C7=CC=CC=C75)[N](C=CC=C8)=C8C9=CC=CC=C94,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,654.793,5.767100000000005,654.793,5.767100000000005,0,0,0,0,0,1,0,0,1,0,0.66181886,0.6783482,0.75715584,0.6932104,0.780077,0.71412206,0.6500389292488723,0.7782051907511277,,,,,
1,1,1,1,1,1,1,1,SS336,Ethanol,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,CC(C)(C1=CC=[N](C(C2=[N]3C=CC(C(C)(C)C)=C2)=C1)[Ir+]453(C6=C(C7=CC=CC=[N]75)C=CC=C6)[N]8=C(C=CC=C8)C9=C4C=CC=C9)C.F[P-](F)(F)(F)(F)F,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,913.9670000000004,11.964899999999984,913.9670000000004,11.964899999999984,0,0,0,0,0,1,0,0,1,0,0.8046272,0.82991946,0.807637,0.84918845,0.8070971,0.8196938420000001,0.7956047266963878,0.8437829573036123,,,,,
2,2,2,2,2,2,2,2,SS336,Ethanol,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.n1([Ru+2]23(n4ccccc4c5ccccn53)(n6ccccc67)n8ccccc8c9ccccn29)c7cccc1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,859.5579999999999,12.455099999999977,859.5579999999999,12.455099999999977,0,0,0,0,0,1,0,0,1,0,0.8182833,0.83948934,0.8432558,0.8304942,0.81055546,0.82841562,0.8112013476009203,0.8456298923990797,,,,,
3,3,3,3,3,3,3,3,SS336,Ethanol,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)CCN2c4c(C)cc(C)cc4C)cccc1)C,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.6340000000004,8.050320000000008,626.6340000000004,8.050320000000008,0,0,0,0,0,1,0,0,1,0,0.8151739,0.78258604,0.8209791,0.78008014,0.86082053,0.811927942,0.7709428037348125,0.8529130802651874,,,,,
4,4,4,4,4,4,4,4,SS336,Ethanol,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,O=[C][Co]([C]=O)([P](C1CCCCC1)(C2CCCCC2)C3CCCCC3)[C]=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,423.3990000000004,5.272600000000005,423.3990000000004,5.272600000000005,0,0,0,0,0,1,0,0,1,0,0.7937721,0.86720115,0.7016475,0.7262627,0.86912954,0.791602598,0.6952405587599388,0.8879646372400611,,,,,
5,5,5,5,5,5,5,5,SS336,Ethanol,O=[C][Co]([PH3])([C]=O)[C]=O,O=[C][Co]([PH3])([C]=O)[C]=O,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,176.96099999999998,-1.1357000000000002,176.96099999999998,-1.1357000000000002,0,0,0,0,0,1,0,0,1,0,0.9385287,0.9286002,0.9999616,0.6351153,0.92206407,0.884853974,0.7072933407611077,1.0624146072388925,,,,,
6,6,6,6,6,6,6,6,SS336,Ethanol,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,Cl[Ru](Cl)([PH3])([PH3])=Cc1ccccc1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,330.09700000000004,2.8789000000000025,330.09700000000004,2.8789000000000025,0,0,0,0,0,1,0,0,1,0,0.4269018,0.37930208,0.81506,0.57022846,0.67261636,0.57282174,0.3512381511933701,0.7944053288066298,,,,,
7,7,7,7,7,7,7,7,SS336,Ethanol,O=C[Rh]([PH3])([PH3])([PH3])[H],O=C[Rh]([PH3])([PH3])([PH3])[H],0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,234.926,-0.3699999999999999,234.926,-0.3699999999999999,0,0,0,0,0,1,0,0,1,0,0.42503124,0.256837,0.49363592,0.49057394,0.31271455,0.39575853,0.2631526355045676,0.5283644244954324,,,,,
8,8,8,8,8,8,8,8,SS336,Ethanol,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,1,0,0,1,0,0.86082304,0.8691244,0.8949162,0.83580923,0.92140245,0.876415064,0.8356511400025762,0.9171789879974238,,,,,
9,9,9,9,9,9,9,9,SS336,Ethanol,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,O=C(O[Pd]1(OC(C)=O)[PH2](CCC[PH2]1))C,0.5,30,25,0.321,CF,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.5690000000001,1.1518,332.5690000000001,1.1518,0,0,0,0,0,1,0,0,1,0,0.8080461,0.8975359,0.8139013,0.75889105,0.87424344,0.830523558,0.7616284521630483,0.8994186638369517,,,,,
