,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1
10,0,0,0,0,0,0,0,SS336,Toluene,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,Oc1c(Cc2cccc(C3)c2O)cccc1Cc4c(O)c(Cc5c(O)c3ccc5)ccc4,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,424.4960000000001,5.185600000000006,424.4960000000001,5.185600000000006,0,0,0,0,0,1,0,0,1,0,,,,,,0.47282607,0.3675435363286011,0.5781086036713988,0.464766,0.4960117,0.4754145,0.5822743,0.34566385
11,1,1,1,1,1,1,1,SS336,Toluene,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,C[n+]1c2ccccc2cc3ccccc13.O=Cl(=O)([O-])=O,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,293.706,-1.938499999999998,293.706,-1.938499999999998,0,0,0,0,0,1,0,0,1,0,,,,,,0.1185353587999999,-0.0799427350084263,0.3170134526084263,0.3742196,-0.012767434,0.15694338,-0.012184322,0.08646557
12,2,2,2,2,2,2,2,SS336,Toluene,O=c(c(N)c1N)c1=O,O=c(c(N)c1N)c1=O,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,112.088,-1.553,112.088,-1.553,0,0,0,0,0,1,0,0,1,0,,,,,,0.09897605194,-0.0351890746714448,0.2331411785514449,0.27803457,-0.0048909783,0.039958894,0.101783544,0.07999423
13,3,3,3,3,3,3,3,SS336,Toluene,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,CC1(C)C2(CCC1CC2=O)CS(Nc3ncccc3)(=O)=O,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.4030000000001,2.2187,308.4030000000001,2.2187,0,0,0,0,0,1,0,0,1,0,,,,,,0.45991895,0.2882869528687068,0.6315509471312932,0.4768111,0.37430102,0.48910016,0.66296434,0.29641813
14,4,4,4,4,4,4,4,SS336,Toluene,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,Oc(cc1)c(c2c(O)ccc3c2cccc3)c4c1cccc4,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000003,286.33,5.071200000000003,0,0,0,0,0,1,0,0,1,0,,,,,,0.431889578,0.3209493954581122,0.5428297605418878,0.47192988,0.4848136,0.47105727,0.45873356,0.27291358
15,5,5,5,5,5,5,5,SS336,Toluene,O=c(c(OC)c1Nc2ccccc2)c1=O,O=c(c(OC)c1Nc2ccccc2)c1=O,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,203.197,1.0347999999999995,203.197,1.0347999999999995,0,0,0,0,0,1,0,0,1,0,,,,,,0.240560972,0.1241955443646638,0.3569263996353361,0.3236074,0.17064545,0.35229117,0.2172972,0.13896364
16,6,6,6,6,6,6,6,SS336,Toluene,c1cccnc1,c1cccnc1,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,79.10199999999999,1.0816,79.10199999999999,1.0816,0,0,0,0,0,1,0,0,1,0,,,,,,-0.0164256859999999,-0.1947667837279749,0.1619154117279749,0.103093505,-0.04154533,0.14737478,-0.20651376,-0.084537625
17,7,7,7,7,7,7,7,SS336,Toluene,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)Cc3c4cc(OC)ccc4ncc3,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,308.425,3.6823000000000015,308.425,3.6823000000000015,0,0,0,0,0,1,0,0,1,0,,,,,,0.415117348,0.2924722254924545,0.5377624705075454,0.5127132,0.36725444,0.47333732,0.45599225,0.26628953
18,8,8,8,8,8,8,8,SS336,Toluene,COC[C@H]1NCCC1,COC[C@H]1NCCC1,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,115.176,0.3847999999999998,115.176,0.3847999999999998,0,0,0,0,0,1,0,0,1,0,,,,,,0.0368704265,-0.0632388558057881,0.136979708805788,0.16510043,-0.050145447,0.03372073,-0.0071873665,0.042863786
19,9,9,9,9,9,9,9,SS336,Toluene,O=C1NCCN1,O=C1NCCN1,0.5,30,25,0.798,CF,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,86.09400000000001,-0.7008000000000001,86.09400000000001,-0.7008000000000001,0,0,0,0,0,1,0,0,1,0,,,,,,0.060859025,-0.1391992833379664,0.2609173333379664,0.33745894,-0.06545478,-0.03739208,0.02123481,0.048448235
