,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,solute_category,membrane,solvent,solute_smiles,pressure,temperature,process_configuration,permeance,substructure_smarts,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](NC(=S)NC(=O)c2ccc3ccccc3c2)c2ccccc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CCO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,745.8820000000002,7.387500000000009,0,0,0,0,0,0,1,0,1,0,0.9403125,1.0,0.94278824,0.9906966,1.0,0.974759468,0.9368078189346852,1.0127111170653147
1,1,1,1,1,1,1,appcat,GMT-oNF-2,Acetonitrile,CC(C)[C@@H](CN(C)C)Nc1c(Nc2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)c(=S)c1=S.CC(OCC)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,782.028,11.06387999999999,0,0,0,0,0,0,1,0,1,0,0.9233508,0.94648564,0.94459796,0.94416654,1.0,0.951720188,0.9162134460897922,0.9872269299102079
2,2,2,2,2,2,2,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](NS(=O)(=O)NC[C@@]2(O)[C@H]([C@@H]3COC(C)(C)O3)O[C@H]3OC(C)(C)O[C@H]32)c2ccccc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CC1CCCO1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,924.063,5.299500000000008,0,0,0,0,0,0,1,0,1,0,0.9349495,1.0,0.9620025,1.0,1.0,0.9793904000000001,0.9423917322556526,1.0163890677443475
3,3,3,3,3,3,3,appcat,GMT-oNF-2,Acetonitrile,CCC(CC)(CC)NC(=S)N[C@H](CN=P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(OC)cc1)C(C)(C)C.N#CC,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,664.897,7.567380000000009,0,0,0,0,0,0,1,0,1,0,0.923887,1.0,0.9444913,1.0,1.0,0.9736756599999999,0.9280136873556954,1.0193376326443044
4,4,4,4,4,4,4,appcat,GMT-oNF-2,Acetonitrile,CCCCC1(CCCC)C(=O)N=C(NC(=S)N[C@H](CN=P(c2ccc(OC)cc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)C(C)(C)C)NC1=O.O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,765.9580000000001,5.623200000000007,0,0,0,0,0,0,1,0,1,0,0.92525184,1.0,0.93558896,1.0,1.0,0.9721681600000001,0.9246308592025956,1.0197054607974045
5,5,5,5,5,5,5,appcat,GMT-oNF-2,Acetonitrile,CN1C(=O)C[C@H]([C@H](Cc2ccccc2)NS(=O)(=O)Nc2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)N1C.CC(OCC)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,836.995,7.922700000000009,0,0,0,0,0,0,1,0,1,0,0.9506094,1.0,0.9409858,0.9910025,1.0,0.97651954,0.9411462664043361,1.0118928135956637
6,6,6,6,6,6,6,appcat,GMT-oNF-2,Acetonitrile,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)Nc1c(N[C@H](CN=P(c2ccc(OC)cc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)c2ccccc2)c(=O)c(=O)c1=O.N#CC,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,945.066,8.808880000000004,0,0,0,0,0,0,1,0,1,0,0.9587631,1.0,0.9552169,1.0,1.0,0.9827960000000001,0.9535040443380142,1.012087955661986
7,7,7,7,7,7,7,appcat,GMT-oNF-2,Acetonitrile,O=c1c(NCCCl)c(Nc2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)c(=O)c1=O.O=CN(C)C,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,712.1860000000001,6.473100000000008,0,0,0,0,0,0,1,0,1,0,0.9978735,0.9832234,0.91136986,0.94732726,1.0,0.9679588039999999,0.9207490129992002,1.0151685950007996
8,8,8,8,8,8,8,appcat,GMT-oNF-2,Acetonitrile,O=c1c(Nc2ccc(Cl)c(C(F)(F)F)c2)c1Nc1ccc2ccccc2c1-c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12.CC(C)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,757.192,11.408699999999984,0,0,0,0,0,0,1,0,1,0,0.9454884,0.94079685,0.9243374,0.9608855,1.0,0.95430163,0.9186938132611748,0.9899094467388252
9,9,9,9,9,9,9,appcat,GMT-oNF-2,Acetonitrile,O=c1c(NCC(F)(F)F)c(N[PH](c2ccccc2)(c2ccccc2)c2ccccc2)c1=O.O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,474.4190000000002,2.4854000000000003,0,0,0,0,0,0,1,0,1,0,0.8020647,0.783676,0.8343178,0.8811848,0.8166994,0.82358854,0.7773951640164404,0.8697819159835597
10,10,10,10,10,10,10,appcat,GMT-oNF-2,Acetonitrile,CC(C)(C)Nc1c(Nc2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)c1=O.CC1CCCO1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,662.814,9.7933,0,0,0,0,0,0,1,0,1,0,0.9390496,0.92029417,0.8969233,0.90835345,1.0,0.9329241039999999,0.8825028071780592,0.9833454008219407
11,11,11,11,11,11,11,appcat,GMT-oNF-2,Acetonitrile,CCC(CC)(CC)NC(=S)N[C@H](CN=P(c1ccc(OC)cc1)(c1ccc(OC)cc1)c1ccc(OC)cc1)C(C)(C)C.CCO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,669.9130000000001,7.036100000000008,0,0,0,0,0,0,1,0,1,0,0.9258487,1.0,0.9485971,1.0,1.0,0.97488916,0.9310428500999008,1.0187354699000992
12,12,12,12,12,12,12,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](NC(=O)NCC(F)(F)F)c2ccccc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CC1=CC=CC=C1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,703.7420000000002,7.787720000000007,0,0,0,0,0,0,1,0,1,0,0.9440745,1.0,0.933424,1.0,1.0,0.9754997,0.933582266229595,1.017417133770405
13,13,13,13,13,13,13,appcat,GMT-oNF-2,Acetonitrile,CCCCNC(=O)c1cccc(CNS(=O)(=O)N[C@H](CN=P(c2ccc(OC)cc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)c2ccccc2)n1.CO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,787.9200000000001,5.088800000000004,0,0,0,0,0,0,1,0,1,0,0.88323843,1.0,0.9357187,1.0,1.0,0.963791426,0.8980592842655508,1.0295235677344492
14,14,14,14,14,14,14,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](Nc2c(NC(C)(C)C)c2=O)C(C)(C)C)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,621.7590000000004,5.771400000000007,0,0,0,0,0,0,1,0,1,0,0.93061733,0.9522107,0.92934036,0.9909332,1.0,0.9606203179999999,0.9193503180922469,1.001890317907753
15,15,15,15,15,15,15,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](Nc2c(NCCCn3ccnc3)c(=S)c2=S)C(C)(C)C)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,733.9410000000001,7.358480000000008,0,0,0,0,0,0,1,0,1,0,0.9191718,1.0,0.939267,1.0,1.0,0.97168776,0.9227491028339764,1.0206264171660238
16,16,16,16,16,16,16,appcat,GMT-oNF-2,Acetonitrile,CCN(CC)c1ccc2ccccc2c1-c1c(NC(=O)N[C@H](CN=P(c2ccc(OC)cc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)C(C)(C)C)ccc2ccccc12.CC(C)=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,891.1059999999999,11.841199999999985,0,0,0,0,0,0,1,0,1,0,0.90965366,1.0,0.9613879,1.0,1.0,0.974208312,0.9248246499714656,1.0235919740285344
17,17,17,17,17,17,17,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](NC(=S)Nc2ccc(Br)cc2)C(C)(C)C)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CC1CCCO1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,766.783,8.539000000000005,0,0,0,0,0,0,1,0,1,0,0.9262278,1.0,0.9472027,0.9786978,1.0,0.9704256600000001,0.929665459210156,1.0111858607898443
18,18,18,18,18,18,18,appcat,GMT-oNF-2,Acetonitrile,COc1ccc(P(=NC[C@@H](NC(=O)NCC(N)=O)c2ccccc2)(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.CO,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,618.6710000000003,3.3242000000000016,0,0,0,0,0,0,1,0,1,0,0.9572785,1.0,0.9219769,1.0,1.0,0.97585108,0.9319653314592825,1.0197368285407176
